编号,日期,客户编号,客户账号,咨询类型,广告帖子编号,引流账号 / 私信账号,负责人,销售名片,微信添加状态,咨询时间,回复时间,响应时间,关键词,网络地址地区,点击次数
385,2025/07/14,CUS0247,user_0247,主动咨询,POST0082,ACC003,Sofia_Sales,已发送,已添加,2025/07/14 18:10,2025-07-14 18:12,2,小孩课程,加拿大,4
223,2025年12月2日,CUS0138,user_0138,主动评论,,ACC004,Leo_Sales,未发送,已添加,2025-12-02 18:20,2025-12-02 18:24,4,留学,美国,3
481,2026年8月31日,,user_0310,被动私信,POST0022,ACC001,Leo_Sales,已发送,未添加,2026-08-31 19:40,2026-08-31 20:02,22,B2,西班牙,3
440,2025-10-29,CUS0284,user_0284,主动咨询,POST0095,ACC003,Mia_Sales,未发送,待添加,10月29日 15:40,2025/10/29 15:49,9,零基础,英国,3
162,2025/10/29,CUS0104,user_0104,主动咨询,POST0026,ACC003,Mia_Sales,已发送,待添加,2025-10-29 18:20,10月29日 18:29,9,口语,中国,3
232,2025年12月30日,CUS0145,user_0145,主动咨询,POST0073,ACC003,Sofia_Sales,已发送,已添加,2025-12-30 09:20,12月30日 9:31,11,小孩课程,澳大利亚,1
478,2026/05/12,CUS0309,user_0309,主动咨询,,ACC003,Sofia_Sales,已发送,待添加,5月12日 10:40,5月12日 10:52,12,零基础,德国,1
5,2026/06/18,,user_0005,主动咨询,,ACC002,Mia_Sales,发送,待添加,6月18日 17:30,,18,小孩课程,英国,2
158,2026年3月24日,CUS0103,user_0103,主动咨询,POST0085,ACC001,Mia_Sales,发送,已添加,2026-03-24 20:20,2026/03/24 20:30,10,零基础,美国,1
450,2026/05/25,CUS0289,user_0289,回访,POST0007,ACC003,Leo_Sales ,发送,待添加,2026-05-25 20:50,2026-05-25 21:14,24,DELE,中国,3
725,2026-07-13,CUS0462,user_0462,主动咨询,POST0026,ACC003,Leo_Sales ,未发送,已添加,2026/07/13 10:30,2026/07/13 11:02,32,口语,西班牙,4
723,2025-04-23,,user_0461,主动评论,POST0019,ACC001,Sofia_Sales ,已发送,已添加,2025-04-23 10:10,2025-04-23 10:19,9,B2,加拿大,1
677,2026-04-13,CUS0435,user_0435,被动私信,POST0020,ACC004,Mia_Sales,已发送,待添加,2026/04/13 16:00,2026/04/13 23:09,429,DELE,澳大利亚,3
615,2026-04-25,CUS0394,user_0394,主动评论,POST0106,ACC002,Sofia_Sales,已发送,已添加,2026-04-25 15:00,2026/04/25 15:12,12,小孩课程,美国,2
236,07/07/2025,CUS0147,USER_0147,被动私信,POST0025,ACC004,MIA_SALES,未发送,已添加,2025-07-07 11:00,2025-07-07 11:13,13,口语,中国,2
266,07/14/2025,CUS0170,user_0170,主动咨询,POST0033,ACC002,Mia_Sales,发送,已添加,2025/07/14 15:00,2025-07-14 15:04,4,小孩课程,澳大利亚,1
24,2026/02/04,CUS0018,user_0018,主动咨询,POST0038,ACC003,Sofia_Sales ,已发送,未添加,2026/02/04 16:40,2026-02-04 16:55,15,留学,英国,1
646,2025-05-21,CUS0416,USER_0416,主动评论,POST0011,ACC004,Mia_Sales,未发送,已添加,2025/05/21 14:30,2025-05-21 14:42,12,零基础,德国,2
65,2026-08-04,CUS0044,user_0044,被动私信,POST0025,ACC004,Leo_Sales,未发送,已添加,8月4日 17:40,8月4日 17:57,17,DELE,西班牙,1
165,2025年12月8日,CUS0106,user_0106,回访,,ACC004,Leo_Sales,已发送,已添加,12月8日 16:20,2025-12-08 16:58,38,小孩课程,新加坡,3
171,12/02/2025,CUS0109,user_0109,主动咨询,,ACC004,SOFIA_SALES,已发送,未添加,2025-12-02 20:50,12月2日 21:25,35,口语,加拿大,2
559,2025-06-19,CUS0363,user_0363,回访,POST0088,ACC001,Mia_Sales,未发送,未添加,2025-06-19 16:20,6月19日 16:37,17,B2,澳大利亚,4
536,2025-06-17,CUS0348, user_0348 ,主动咨询,,ACC002,Mia_Sales,已发送,已添加,2025/06/17 20:30,2025/06/17 21:05,35,零基础,中国,1
603,2025-03-24,CUS0388,user_0388,主动咨询,POST0016,ACC004,MIA_SALES,发送,已添加,2025/03/24 17:30,2025-03-24 21:01,211,小孩课程,英国,2
313,2026/04/11,CUS0200,user_0200,被动私信,POST0026,ACC003,Leo_Sales,已发送,未添加,2026-04-11 10:50,2026-04-11 12:09,79,小孩课程,英国,3
661,2026年4月13日,, user_0427 ,回访,POST0107,ACC003,Sofia_Sales,已发送,未添加,2026-04-13 14:50,2026-04-13 15:09,19,留学,美国,4
110,2025-12-02,CUS0071,user_0071,回访,POST0067,ACC001,Mia_Sales,已发送,未添加,2025-12-02 17:20,2025/12/02 17:55,35,零基础,西班牙,4
575,2025-10-11,CUS0372,user_0372,被动私信,POST0010,ACC004,Mia_Sales,已发送,已添加,10月11日 16:50,2025/10/11 17:35,45,留学,西班牙,4
113,2025年3月23日,CUS0072,user_0072,被动私信,,ACC004,Mia_Sales,已发送,已添加,2025-03-23 10:10,3月23日 11:06,56,小孩课程,德国,1
649,10/24/2025,CUS0418,user_0418,被动私信,POST0093,ACC002,Mia_Sales,已发送,已添加,2025-10-24 19:00,2025/10/24 19:13,13,零基础,中国,3
214,2025-09-27,CUS0131,user_0131,回访,POST0032,ACC002,Sofia_Sales,未发送,已添加,2025/09/27 09:50,2025-09-27 16:42,412,零基础,西班牙,3
134,2025-09-20,CUS0084,user_0084,回访,POST0084,ACC002,Sofia_Sales,已发送,已添加,9月20日 16:10,9月20日 16:34,24,DELE,中国,2
264,2025年10月23日,CUS0168,user_0168,主动咨询,POST0081,ACC004,Sofia_Sales,未发送,已添加,2025-10-23 17:10,,6,DELE,新加坡,1
440,2025-10-29,CUS0284,user_0284,主动咨询,POST0095,ACC003,Mia_Sales,未发送,待添加,10月29日 15:40,2025/10/29 15:49,9,零基础,英国,3
704,2025-05-03,CUS0451,USER_0451,主动咨询,POST0002,ACC001,Leo_Sales,未发送,未添加,2025-05-03 17:40,5月3日 18:05,40,B2,中国,4
402,2025-06-10,CUS0257, user_0257 ,主动咨询,POST0107,ACC003,Sofia_Sales,已发送,待添加,6月10日 15:30,2025/06/10 19:26,236,零基础,英国,3
640,2026-08-05,,user_0412,主动咨询,POST0085,ACC001,Leo_Sales,发送,已添加,2026/08/05 10:50,2026/08/05 11:00,10,B2,新加坡,3
784,2026-06-27,CUS0503,user_0503,主动咨询,,ACC001,Leo_Sales,未发送,已添加,2026-06-27 19:30,6月27日 19:42,41,小孩课程,加拿大,3
45,2025年3月7日,,user_0032,主动咨询,POST0013,ACC003,Mia_Sales,已发送,已添加,3月7日 19:00,2025-03-07 19:15,15,口语,加拿大,2
156,2026-06-30,CUS0101,user_0101,被动私信,POST0086,ACC004,Mia_Sales,未发送,已添加,6月30日 15:10,2026-06-30 15:25,15,小孩课程,新加坡,3
547,2025-03-23,CUS0355,user_0355,主动评论,POST0097,ACC004,Sofia_Sales,已发送,已添加,2025/03/23 14:30,2025-03-23 14:38,8,口语,西班牙,3
291,2026-06-14,,USER_0185,主动咨询,POST0044,ACC001,Mia_Sales,已发送,待添加,2026/06/14 10:30,2026-06-14 11:18,48,DELE,新加坡,3
358,2025/04/05,CUS0229,@user_0229,回访,,ACC001,Leo_Sales,已发送,待添加,4月5日 19:00,4月5日 19:12,12,留学,西班牙,4
564,2026-03-09,CUS0366,user_0366,主动咨询,POST0027,ACC004,Mia_Sales,发送,未添加,2026-03-09 19:10,2026-03-09 19:29,19,口语,加拿大,2
623,2026-05-24,CUS0400,user_0400,被动私信,POST0109,ACC001,Sofia_Sales,发送,已添加,2026-05-24 14:30,2026-05-24 14:38,8,小孩课程,西班牙,1
775,2025/04/22,,user_0496,主动咨询,POST0052,ACC002,Leo_Sales,已发送,待添加,4月22日 11:50,2025-04-22 12:10,20,留学,澳大利亚,3
329,2026-02-24,CUS0210,user_0210,回访,,ACC003,Mia_Sales,未发送,已添加,2月24日 18:50,2026-02-24 18:53,3,DELE,中国,3
607,2025/12/19,CUS0390,user_0390,主动咨询,POST0108,ACC003,Mia_Sales,已发送,已添加,2025-12-19 18:50,12月19日 19:04,14,B2,新加坡,1
321,2025-03-16,CUS0206,@user_0206,回访,POST0098,ACC003,Sofia_Sales,已发送,已添加,2025-03-16 15:50,2025-03-16 16:00,10,DELE,西班牙,3
35,2025/03/07,CUS0025,user_0025,被动私信,POST0077,ACC002,Sofia_Sales,已发送,已添加,2025-03-07 14:00,2025-03-07 14:22,22,B2,德国,2
433,2026-02-17,CUS0280,user_0280,主动评论,POST0086,ACC004,Mia_Sales,发送,已添加,2026/02/17 20:00,2026-02-17 20:27,27,零基础,加拿大,2
467,2025/06/08,CUS0301,user_0301,回访,POST0036,ACC002,Sofia_Sales,发送,已添加,2025/06/08 09:00,2025/06/08 09:25,25,DELE,英国,2
795,2025/11/24,,user_0512,回访,POST0077,ACC002,LEO_SALES,未发送,已添加,2025/11/24 19:40,2025/11/24 19:56,16,留学,中国,4
271,2025-10-10,,user_0172,回访,POST0067,ACC001,Sofia_Sales,已发送,已添加,2025-10-10 16:30,2025-10-10 17:01,31,小孩课程,澳大利亚,4
366,04/06/2025,,user_0234,回访,POST0047,ACC004,Sofia_Sales,未发送,已添加,4月6日 20:30,4月6日 21:12,42,口语,澳大利亚,4
224,2026-04-15,CUS0139,user_0139,主动咨询,POST0031,ACC002,Mia_Sales,未发送,已添加,2026/04/15 17:20,2026/04/15 17:49,29,零基础,新加坡,4
633,2026/02/03,CUS0408, user_0408 ,主动评论,POST0024,ACC003,Mia_Sales,已发送,未添加,2026-02-03 20:00,2月3日 20:04,49,零基础,英国,2
106,2025/06/15,,user_0069,主动咨询,POST0080,ACC003,Leo_Sales,已发送,已添加,2025/06/15 18:00,6月15日 18:18,18,小孩课程,美国,4
691,2026-07-27,CUS0445,user_0445,被动私信,POST0027,ACC004,Leo_Sales,已发送,已添加,7月27日 9:00,2026-07-27 09:55,55,零基础,澳大利亚,4
237,2026年5月1日,CUS0148,user_0148,回访,POST0008,ACC004,SOFIA_SALES,未发送,未添加,2026-05-01 19:30,2026-05-01 19:49,19,口语,美国,3
242,06/22/2026,CUS0152, user_0152 ,回访,POST0099,ACC004,Sofia_Sales,已发送,已添加,2026-06-22 20:20,2026/06/22 20:22,2,零基础,德国,2
288,2026-03-10,CUS0182,user_0182,主动咨询,POST0115,ACC004,Sofia_Sales,已发送,已添加,2026-03-10 20:00,2026-03-10 20:10,23,留学,澳大利亚,2
50,2026/08/20,CUS0035,user_0035,回访,POST0083,ACC001,Sofia_Sales,发送,未添加,2026-08-20 14:30,2026/08/20 14:57,27,口语,新加坡,4
475,06/21/2026,CUS0307,user_0307,主动评论,POST0027,ACC004,Sofia_Sales,发送,未添加,2026-06-21 17:50,2026-06-21 18:04,14,零基础,美国,2
661,2026年4月13日,, user_0427 ,回访,POST0107,ACC003,Sofia_Sales,已发送,未添加,2026-04-13 14:50,2026-04-13 15:09,19,留学,美国,4
483,2025-09-03,CUS0312,user_0312,被动私信,POST0093,ACC002,Mia_Sales,未发送,已添加,2025-09-03 14:10,2025-09-03 14:19,9,小孩课程,英国,3
570,2025-07-08,,user_0369,被动私信,POST0024,ACC003,Sofia_Sales,已发送,已添加,2025-07-08 09:30,2025-07-08 09:35,5,口语,西班牙,1
208,2025-12-10,CUS0128,user_0128,回访,POST0014,ACC001,Mia_Sales,发送,待添加,2025-12-10 18:20,2025/12/10 18:22,2,零基础,德国,3
755,07/17/2025,CUS0482,user_0482,被动私信,POST0106,ACC002,Sofia_Sales,已发送,已添加,7月17日 18:10,7月17日 18:17,7,零基础,英国,2
39,05/08/2026,CUS0027,user_0027,回访,POST0071,ACC003,Sofia_Sales,发送,未添加,2026-05-08 09:20,,9,DELE,中国,3
47,2025/03/26,CUS0033,user_0033,主动咨询,POST0092,ACC002,Mia_Sales,发送,已添加,2025/03/26 14:00,2025/03/26 18:03,243,小孩课程,新加坡,2
610,2025年12月16日,CUS0392,user_0392,主动咨询,,ACC003,Mia_Sales,已发送,已添加,2025-12-16 16:30,12月16日 16:38,8,零基础,新加坡,1
604,2025-05-03,CUS0388,user_0388,被动私信,POST0093,ACC002,Mia_Sales,发送,已添加,2025-05-03 17:10,2025-05-03 17:28,18,B2,英国,4
763,2025年12月1日,CUS0488,user_0488,主动咨询,POST0086,ACC004,Leo_Sales,未发送,已添加,2025-12-01 16:40,2025-12-01 16:46,6,小孩课程,西班牙,1
729,2025/11/05,CUS0465,user_0465,主动咨询,POST0061,ACC003,Mia_Sales,未发送,已添加,2025-11-05 09:30,2025-11-05 09:39,9,零基础,中国,4
760,2026-04-18,CUS0486,user_0486,回访,,ACC001,Leo_Sales,已发送,待添加,4月18日 14:00,2026/04/18 14:15,15,DELE,加拿大,4
793,2025/12/22,CUS0511,user_0511,主动咨询,POST0111,ACC003,Mia_Sales,已发送,已添加,2025-12-22 11:10,12月22日 11:18,8,口语,澳大利亚,1
348,2025/08/28,CUS0223,user_0223,主动评论,,ACC001,Mia_Sales,未发送,未添加,2025/08/28 11:50,2025/08/28 12:15,25,口语,中国,3
655,2026-08-06,,user_0423,回访,POST0083,ACC001,Leo_Sales,发送,已添加,2026-08-06 19:30,2026/08/06 19:42,59,B2,德国,4
545,2026-08-15,CUS0354,user_0354,回访,,ACC002,Leo_Sales,已发送,未添加,2026-08-15 10:40,2026-08-15 10:52,12,B2,德国,1
300,2026年8月18日,CUS0190,@user_0190,主动评论,POST0102,ACC003,Mia_Sales,已发送,已添加,8月18日 20:20,2026-08-18 20:25,5,B2,西班牙,4
38,2026-04-24,CUS0026,user_0026,主动咨询,POST0077,ACC002,Sofia_Sales,已发送,已添加,2026-04-24 18:50,2026/04/24 18:59,9,B2,新加坡,2
181,2025/07/29,CUS0115,user_0115,被动私信,POST0089,ACC004,Leo_Sales,发送,已添加,2025-07-29 15:40,2025-07-29 15:44,4,DELE,美国,2
132,2026-03-17,CUS0083,user_0083,回访,POST0030,ACC003,Leo_Sales,未发送,已添加,3月17日 18:20,2026-03-17 18:44,79,零基础,西班牙,3
652,2026-07-16,CUS0421,user_0421,主动咨询,,ACC004,Sofia_Sales,发送,已添加,7月16日 15:10,2026-07-16 15:19,9,口语,澳大利亚,3
97,2026/01/03,CUS0064,user_0064,主动咨询,POST0086,ACC004,Mia_Sales,未发送,已添加,2026/01/03 17:00,2026-01-03 17:37,78,留学,西班牙,1
722,2025-04-15,CUS0461,user_0461,主动评论,POST0050,ACC003,Sofia_Sales,已发送,已添加,2025-04-15 18:00,2025/04/15 18:14,14,零基础,西班牙,1
471,2025-10-18,CUS0305, user_0305 ,主动咨询,POST0043,ACC002,Leo_Sales,未发送,未添加,10月18日 18:40,2025-10-18 18:42,2,留学,中国,4
533,2026-04-22,, user_0345 ,主动咨询,,ACC002,Mia_Sales,未发送,已添加,2026/04/22 11:40,2026-04-22 11:46,6,小孩课程,新加坡,3
30,2025年10月27日,CUS0021,user_0021,主动咨询,POST0014,ACC001,Sofia_Sales,已发送,已添加,2025/10/27 09:00,2025-10-27 09:05,5,小孩课程,德国,1
320,2026-04-29,CUS0205,user_0205,主动咨询,,ACC004,Sofia_Sales,已发送,待添加,2026/04/29 18:00,4月29日 18:33,33,DELE,美国,4
14,2025年7月5日,CUS0011,user_0011,主动咨询,POST0119,ACC003,Leo_Sales,已发送,已添加,7月5日 18:50,2025-07-05 19:00,10,DELE,新加坡,3
465,2026-06-25,CUS0299,user_0299,主动咨询,POST0095,ACC003,Sofia_Sales,未发送,已添加,2026-06-25 10:10,2026-06-25 16:01,368,零基础,加拿大,4
668,09/11/2025,CUS0432,user_0432,主动咨询,POST0070,ACC003,Mia_Sales,已发送,已添加,2025-09-11 14:30,2025-09-11 14:51,21,零基础,澳大利亚,2
260,2026-03-25,,user_0165,被动私信,POST0118,ACC004,Mia_Sales,发送,待添加,2026-03-25 16:50,2026-03-25 17:03,13,口语,新加坡,2
86,2026-03-06,,user_0057,主动咨询,POST0010,ACC004,Sofia_Sales,发送,已添加,2026-03-06 11:50,,20,零基础,美国,4
233,2026年1月31日,CUS0145,user_0145,回访,POST0072,ACC003,Sofia_Sales,已发送,已添加,2026-01-31 17:40,2026/01/31 18:10,30,零基础,加拿大,2
419,03/27/2026,,user_0269,主动评论,POST0039,ACC004,Mia_Sales,已发送,已添加,3月27日 17:00,2026-03-27 17:08,8,B2,西班牙,1
699,03/09/2025,CUS0448,user_0448,主动咨询,POST0021,ACC003,Leo_Sales,未发送,已添加,3月9日 10:10,3月9日 10:29,19,零基础,西班牙,4
673,2026-04-01,,user_0433,主动咨询,POST0107,ACC003,Sofia_Sales,发送,已添加,2026-04-01 10:10,4月1日 10:22,12,口语,英国,2
468,2026年5月17日,CUS0302,user_0302,主动咨询,POST0119,ACC003,Sofia_Sales,未发送,已添加,5月17日 20:00,2026-05-17 20:15,15,DELE,美国,2
700,2025/03/16,,user_0448,被动私信,POST0007,ACC003,Leo_Sales,发送,已添加,2025/03/16 15:20,2025-03-16 15:51,31,小孩课程,加拿大,1
194,2025年10月31日,CUS0121,user_0121,主动评论,POST0068,ACC003,Mia_Sales,未发送,已添加,10月31日 16:00,2025-10-31 16:36,36,DELE,美国,3
501,04/23/2025,,user_0323,主动咨询,,ACC003,Sofia_Sale,未发送,已添加,2025-04-23 11:00,2025-04-23 15:58,298,留学,加拿大,3
7,2025-03-08,CUS0007,user_0007,主动评论,POST0064,ACC004,Sofia_Sales,未发送,已添加,2025-03-08 18:00,2025-03-08 18:09,9,B2,加拿大,3
479,07/21/2026,CUS0310,user_0310,主动咨询,POST0072,ACC003,Leo_Sales,未发送,待添加,7月21日 14:50,2026-07-21 14:57,7,小孩课程,新加坡,3
168,2025-08-07,,user_0107,主动评论,,ACC003,Mia_Sales,已发送,已添加,2025-08-07 20:20,,27,零基础,中国,1
88,2025-04-27,CUS0058,user_0058,主动咨询,POST0108,ACC003,Mia_Sale,发送,未添加,4月27日 9:20,2025-04-27 10:03,43,留学,美国,3
210,2026-02-22,CUS0128,user_0128,主动咨询,,ACC003,Mia_Sales,已发送,未添加,2026-02-22 14:10,2026-02-22 14:12,2,小孩课程,英国,3
672,2026-02-17,CUS0433,user_0433,主动咨询,POST0056,ACC001,Sofia_Sales,未发送,待添加,2026-02-17 16:00,2026-02-17 16:39,39,口语,德国,1
647,2026-06-29,CUS0417, user_0417 ,主动咨询,POST0006,ACC004,Mia_Sales,已发送,已添加,2026/06/29 10:20,2026/06/29 18:28,536,口语,中国,3
642,2026-08-26,,user_0412,主动评论,POST0004,ACC002,Leo_Sales,已发送,已添加,2026/08/26 15:30,2026-08-26 16:07,37,B2,英国,1
338,2025/04/13,,user_0216,被动私信,POST0102,ACC003,Mia_Sales,已发送,已添加,4月13日 10:00,2025/04/13 10:03,3,零基础,澳大利亚,1
1,2025年7月25日,CUS0001,USER_0001,主动咨询,POST0061,ACC003,Sofia_Sales,发送,已添加,2025-07-25 18:40,,8,零基础,美国,4
736,2025-10-01,,user_0469,主动咨询,POST0079,ACC001,Leo_Sales,发送,待添加,2025-10-01 18:10,2025-10-01 18:16,6,B2,西班牙,4
631,08/15/2025,CUS0406,user_0406,主动咨询,,ACC002,MIA_SALES,未发送,已添加,2025/08/15 11:40,8月15日 19:55,495,小孩课程,美国,4
376,2025/11/02,CUS0241,user_0241,回访,POST0081,ACC004,Leo_Sales,已发送,已添加,2025-11-02 19:10,11月2日 19:12,2,小孩课程,澳大利亚,3
626,2025-11-20,CUS0402,user_0402,主动咨询,POST0066,ACC001,Sofia_Sales,已发送,已添加,2025/11/20 19:10,2025/11/20 19:23,13,B2,新加坡,3
300,2026年8月18日,CUS0190, @user_0190 ,主动评论,POST0102,ACC003,Mia_Sales,已发送,已添加,8月18日 20:20,2026-08-18 20:25,5,B2,西班牙,4
354,2026年8月31日,CUS0226,user_0226,主动咨询,POST0118,ACC004,Mia_Sales,未发送,已添加,2026/08/31 17:50,2026/08/31 17:54,4,小孩课程,加拿大,1
310,2026/02/05,CUS0198,USER_0198,主动咨询,POST0053,ACC004,Sofia_Sales,已发送,未添加,2026/02/05 20:00,2月5日 20:24,24,小孩课程,新加坡,1
305,2025/07/01,,user_0194,主动咨询,POST0029,ACC001,Sofia_Sales,未发送,未添加,2025/07/01 20:10,2025-07-01 20:29,19,口语,英国,2
319,2026/02/23,CUS0204,USER_0204,回访,POST0024,ACC003,Leo_Sales,已发送,未添加,2月23日 16:50,2026-02-23 17:10,20,留学,中国,1
158,2026年3月24日,CUS0103,user_0103,主动咨询,POST0085,ACC001,Mia_Sales,发送,已添加,2026-03-24 20:20,2026/03/24 20:30,10,零基础,美国,1
205,2026-01-30,CUS0127,user_0127,主动咨询,POST0084,ACC002,Leo_Sales,已发送,已添加,2026-01-30 19:40,2026/01/30 19:57,17,留学,澳大利亚,3
441,2025-03-31,CUS0285,user_0285,主动咨询,POST0023,ACC001,Sofia_Sales,已发送,已添加,2025-03-31 20:20,2025/03/31 20:31,11,口语,澳大利亚,2
90,2026-01-06,CUS0059, user_0059 ,主动评论,POST0060,ACC001,Mia_Sales,已发送,已添加,2026/01/06 14:10,,3,DELE,美国,1
350,2025/10/12,CUS0225,user_0225,主动评论,POST0011,ACC004,Leo_Sales,未发送,待添加,10月12日 10:20,2025-10-12 10:37,17,小孩课程,美国,3
591,2026年7月5日,CUS0381,user_0381,主动咨询,POST0118,ACC004,Sofia_Sales,未发送,已添加,2026-07-05 20:00,7月5日 20:20,20,零基础,德国,4
274,2026/05/31,CUS0174,user_0174,主动咨询,POST0004,ACC002,Sofia_Sales,已发送,待添加,5月31日 15:20,2026-05-31 15:45,25,DELE,西班牙,1
493,02/23/2026,,@user_0317,回访,,ACC004,Leo_Sales,发送,已添加,2026/02/23 20:30,2026/02/23 20:45,15,B2,新加坡,3
12,09/06/2025,,USER_0010,被动私信,POST0028,ACC003,Mia_Sales,发送,已添加,2025-09-06 14:30,2025/09/06 21:32,422,零基础,美国,3
779,2025-11-02,CUS0500,user_0500,主动咨询,POST0101,ACC003,Leo_Sales,未发送,已添加,11月2日 15:20,2025-11-02 20:34,314,口语,中国,3
142,2025年6月19日,CUS0090,user_0090,主动评论,POST0042,ACC003,Sofia_Sales,未发送,未添加,2025-06-19 17:20,2025-06-19 17:31,11,留学,英国,3
394,2025/06/10,CUS0252,user_0252,被动私信,POST0055,ACC004,Sofia_Sales,已发送,已添加,2025-06-10 19:10,2025/06/10 19:17,7,留学,新加坡,4
115,11/07/2025,CUS0073,user_0073,被动私信,POST0014,ACC001,Leo_Sales,未发送,已添加,2025-11-07 10:40,2025/11/07 10:42,2,零基础,新加坡,4
337,2025-03-11,CUS0216, user_0216 ,主动评论,POST0003,ACC001,Mia_Sales,已发送,已添加,2025-03-11 10:30,2025/03/11 11:09,39,B2,加拿大,2
463,2026年8月14日,CUS0298,user_0298,被动私信,POST0006,ACC004,Leo_Sales,已发送,已添加,2026/08/14 14:40,2026-08-14 14:45,5,口语,中国,2
731,2026-01-17,CUS0465,user_0465,主动咨询,,ACC003,Mia_Sales,未发送,待添加,1月17日 10:20,2026-01-17 10:33,13,小孩课程,德国,2
4,2025/11/19,CUS0004,user_0004,主动咨询,POST0093,ACC002,Sofia_Sales,发送,已添加,2025/11/19 19:40,2025/11/19 22:48,188,留学,加拿大,1
270,2025-09-25,CUS0172,user_0172,主动咨询,POST0107,ACC003,Sofia_Sales,已发送,待添加,2025-09-25 20:20,9月25日 20:35,15,留学,美国,2
317,2025-12-16,CUS0202,user_0202,主动咨询,POST0096,ACC002,Mia_Sales,已发送,待添加,2025-12-16 20:10,2025-12-16 20:45,35,零基础,澳大利亚,2
185,2025-08-01,,user_0117,被动私信,POST0025,ACC004,Sofia_Sales,发送,已添加,2025-08-01 16:30,2025-08-01 17:21,51,零基础,英国,1
487,2025/10/05,,user_0314,回访,POST0068,ACC003,Sofia_Sales,已发送,已添加,2025/10/05 17:30,10月5日 17:34,4,口语,德国,2
104,05/29/2026,CUS0068,user_0068,主动咨询,,ACC001,Leo_Sales,已发送,未添加,5月29日 14:50,2026-05-29 15:12,22,小孩课程,美国,1
277,03/17/2025,CUS0175,user_0175,主动评论,POST0076,ACC002,SOFIA_SALES,发送,待添加,2025-03-17 19:30,2025-03-17 19:35,5,小孩课程,加拿大,3
415,2025-09-11,CUS0266,user_0266,主动咨询,POST0031,ACC002,Sofia_Sales,发送,未添加,2025-09-11 20:20,2025-09-11 20:23,3,零基础,西班牙,4
398,2026/07/29,CUS0256,user_0256,主动咨询,POST0034,ACC001,Sofia_Sales,未发送,未添加,7月29日 15:10,2026-07-29 15:18,8,小孩课程,加拿大,4
555,2026年5月1日,CUS0360, user_0360 ,主动咨询,POST0020,ACC004,Leo_Sales,发送,已添加,2026/05/01 11:30,2026-05-01 11:34,4,零基础,新加坡,4
562,2025-09-22,CUS0364,user_0364,主动咨询,POST0012,ACC004,Sofia_Sale,已发送,待添加,2025-09-22 16:50,9月22日 17:02,12,小孩课程,西班牙,2
91,2026-05-07,CUS0060,user_0060,主动咨询,POST0109,ACC001,Mia_Sales,发送,待添加,2026-05-07 15:10,2026-05-07 15:48,38,口语,英国,4
37,2025-03-17,CUS0025,user_0025,主动咨询,POST0102,ACC003,Sofia_Sales,已发送,已添加,2025/03/17 10:50,3月17日 10:57,7,口语,澳大利亚,3
436,2025-09-10,CUS0282,user_0282,主动评论,POST0049,ACC002,Mia_Sales,发送,已添加,2025-09-10 19:50,2025/09/10 20:03,13,零基础,加拿大,2
499,2025年6月23日,,user_0322,主动评论,,ACC003,Sofia_Sales,未发送,未添加,2025-06-23 10:00,2025/06/23 10:19,19,小孩课程,德国,1
759,2026/04/17,CUS0485,user_0485,主动咨询,,ACC003,Leo_Sales,已发送,待添加,4月17日 18:00,2026/04/17 18:32,32,DELE,澳大利亚,1
625,03/24/2026,CUS0401,user_0401,回访,POST0017,ACC001,Mia_Sales,未发送,未添加,3月24日 16:30,2026-03-24 21:33,303,零基础,澳大利亚,3
147,2025-08-05,CUS0093,@user_0093,主动咨询,POST0104,ACC004,Mia_Sales,未发送,已添加,2025-08-05 11:10,2025-08-05 11:22,12,零基础,加拿大,4
726,04/06/2026,CUS0463,user_0463,主动评论,POST0095,ACC003,Leo_Sales,已发送,未添加,4月6日 10:40,2026-04-06 10:52,12,B2,中国,2
381,2025-06-04,CUS0243,user_0243,被动私信,POST0010,ACC004,Leo_Sales,未发送,已添加,2025-06-04 15:20,2025-06-04 15:28,8,小孩课程,中国,1
76,2026/06/24,,user_0052,主动咨询,POST0038,ACC003,Leo_Sales,已发送,已添加,2026-06-24 15:10,2026-06-24 15:33,23,零基础,加拿大,3
17,2026/06/16,CUS0013,USER_0013,主动评论,,ACC004,Sofia_Sales,未发送,已添加,2026-06-16 14:40,6月16日 15:13,33,留学,西班牙,4
307,2025-05-17,CUS0196,user_0196,主动评论,POST0060,ACC001,Leo_Sales ,未发送,已添加,5月17日 16:00,2025-05-17 16:25,25,零基础,澳大利亚,3
6,2026-08-19,CUS0006,user_0006,回访,POST0082,ACC003,Leo_Sales,发送,已添加,2026/08/19 11:20,2026/08/19 11:30,10,小孩课程,英国,1
507,2026-02-08,CUS0328,user_0328,回访,POST0024,ACC003,Leo_Sales,未发送,已添加,2026/02/08 18:00,2026-02-08 18:11,11,零基础,加拿大,2
57,2026/01/06,,@user_0040,主动咨询,POST0116,ACC001,Mia_Sales,已发送,已添加,2026-01-06 10:20,2026/01/06 10:44,24,DELE,美国,3
439,2025/10/01,CUS0284,user_0284,主动评论,POST0074,ACC001,Mia_Sales,未发送,未添加,2025-10-01 14:20,2025-10-01 14:28,8,DELE,加拿大,2
192,2026-06-07,CUS0120,user_0120,主动咨询,POST0010,ACC004,Sofia_Sales,已发送,已添加,2026-06-07 17:00,2026-06-07 17:04,4,DELE,中国,2
